CustomerID,unique_items,total_items,total_invoices,total_value,ave_value
12346,1,74215,1,77183.6,77183.6
12347,86,2458,7,4310.0,23.681318681318682
12348,21,2332,4,1437.24,53.23111111111111
12349,69,630,1,1457.55,20.24375
12350,16,196,1,294.4,18.4
12352,56,526,7,1385.74,17.996623376623376
12353,4,20,1,89.0,22.25
12354,53,530,1,1079.4,18.610344827586207
12355,10,240,1,459.4,35.33846153846154
12356,49,1573,3,2487.43,42.88672413793103
12357,116,2708,1,6207.67,47.38679389312977
12358,9,242,2,928.0600000000001,54.591764705882355
12359,181,1622,4,6372.58,25.695887096774193
12360,90,1156,3,2302.06,18.27031746031746
12361,9,90,1,174.9,19.433333333333334
12362,188,2197,10,4737.23,18.5048046875
12363,18,408,2,552.0,24.0
12364,61,1499,4,1208.1,14.914814814814815
12365,18,173,1,320.69,15.27095238095238
12367,10,172,1,150.9,15.09
12370,123,2350,4,3425.69,20.63668674698795
12371,54,582,1,1527.96,24.644516129032258
12372,31,788,3,1196.04,24.408979591836733
12373,13,196,1,324.6,24.96923076923077
12374,30,339,1,622.93,19.4665625
12375,12,176,2,377.5,25.166666666666668
12377,63,942,2,1548.12,20.369999999999997
12378,198,2529,1,4008.62,18.30420091324201
12379,35,402,2,777.24,20.453684210526315
12380,71,1110,4,2427.81,24.2781
12381,69,797,3,1474.81,17.985487804878048
12383,72,1518,5,1628.56,17.325106382978724
12384,25,122,2,425.27000000000004,17.010800000000003
12386,9,354,2,401.9,40.19
12388,54,1462,6,2780.66,27.8066
12390,31,350,1,504.84000000000003,16.28516129032258
12391,83,300,1,460.89,4.6089
12393,43,816,4,1582.6000000000001,24.728125000000002
12394,23,808,2,1080.48,43.2192
12395,82,2097,12,2682.63,18.629375
12397,105,1250,2,2214.9,17.86209677419355
12398,75,1389,1,1435.66,17.091190476190476
12399,42,1173,4,1033.65,18.793636363636367
12401,4,10,1,69.3,17.325
12402,10,92,1,195.6,19.56
12403,2,94,1,391.7,97.925
12405,48,849,1,1390.39,26.233773584905663
12406,84,1818,2,3415.3,32.52666666666667
12407,52,1403,5,1507.1200000000001,20.932222222222222
12408,73,1391,5,2618.55,25.92623762376238
12409,81,5551,3,11072.67,101.58412844036697
12410,18,207,2,533.33,21.3332
12412,42,824,3,1142.88,19.7048275862069
12413,28,282,3,686.1,19.058333333333334
12414,14,297,3,442.41,29.494000000000003
12415,402,77669,20,124564.53,174.21612587412588
12417,150,1527,9,3226.1,17.62896174863388
12418,34,407,1,668.58,19.664117647058823
12420,28,345,1,600.39,20.70310344827586
12421,31,478,4,639.04,15.586341463414634
12422,35,367,3,683.5600000000001,17.98842105263158
12423,91,1324,8,1634.31,13.968461538461538
12424,29,740,2,1760.96,58.69866666666667
12425,36,496,1,777.2,21.58888888888889
12426,29,254,1,510.73,17.611379310344827
12427,24,526,3,699.8,24.99285714285714
12428,219,3509,8,6405.26,22.317979094076655
12429,71,1538,4,3388.4,36.0468085106383
12430,9,116,1,216.4,21.64
12431,143,2911,15,6382.45,27.27542735042735
12432,89,1800,4,4359.32,40.74130841121495
12433,187,11071,7,13375.87,31.847309523809525
12434,41,394,2,806.14,16.122799999999998
12435,22,2055,2,7829.89,217.49694444444447
12436,14,209,1,429.01000000000005,28.60066666666667
12437,109,2894,18,4447.41,24.17070652173913
12438,79,1169,2,2466.85,25.696354166666666
12441,10,120,1,155.55,15.555000000000001
12442,11,181,1,144.06,13.096363636363636
12444,116,1132,5,4085.46,23.61537572254335
12445,3,60,1,77.4,25.8
12446,56,351,1,1002.3100000000001,17.584385964912283
12447,22,187,1,431.49,17.2596
12448,20,240,1,365.45,17.402380952380952
12449,100,1523,4,3596.29,19.231497326203208
12450,7,128,2,197.88,24.735
12451,244,6574,5,8995.52,25.483059490084987
12452,20,181,1,348.57,17.4285
12453,41,473,1,707.09,16.443953488372095
12454,14,1006,1,3528.34,235.22266666666667
12455,73,2084,5,2339.86,27.527764705882355
12456,90,1618,3,2581.04,21.15606557377049
12457,51,836,6,2043.23,34.05383333333334
12458,34,502,2,787.4,21.87222222222222
12461,28,282,1,626.88,18.43764705882353
12462,49,527,2,937.59,15.6265
12463,63,768,4,1200.78,15.199746835443039
12464,3,95,8,957.05,43.502272727272725
12465,45,475,2,682.1899999999999,15.159777777777776
12468,35,362,2,657.54,18.265
12471,146,8104,27,17424.05,39.690318906605924
12472,194,4120,7,6068.11,18.277439759036145
12473,129,2419,3,2596.23,16.125652173913043
12474,243,4812,18,6745.79,16.533799019607844
12475,35,532,1,669.38,19.12514285714286
12476,165,2357,11,5898.42,26.332232142857144
12477,178,3653,6,13219.74,44.065799999999996
12478,35,233,1,545.99,15.599714285714287
12479,27,382,1,473.2,15.773333333333333
12480,117,1685,4,2885.63,19.237533333333335
12481,133,3272,10,5020.32,24.020669856459328
12483,43,1094,8,1910.98,28.10264705882353
12484,237,2170,4,3953.72,11.560584795321637
12488,42,526,3,1244.66,23.049259259259262
12489,14,103,1,298.93,21.35214285714286
12490,120,3033,10,4859.93,20.680553191489363
12491,24,258,1,424.40000000000003,16.976000000000003
12492,18,190,2,227.21,12.622777777777777
12493,17,204,2,379.74,18.987000000000002
12494,62,698,7,1084.1000000000001,15.269014084507043
12497,11,1231,1,953.1,73.31538461538462
12498,19,156,3,349.70000000000005,16.652380952380955
12500,32,2666,10,4056.82,79.54549019607843
12501,134,1775,1,2025.39,13.685067567567568
12502,91,794,5,2995.87,21.097676056338027
12504,4,87,2,428.04999999999995,53.506249999999994
12506,20,23,1,73.5,3.1956521739130435
12507,18,896,3,1052.81,52.640499999999996
12508,54,272,2,398.27,5.772028985507246
12509,6,54,1,158.5,26.416666666666668
12510,25,347,2,814.5699999999999,26.276451612903223
12512,29,99,2,138.03,4.059705882352941
12513,33,459,1,558.29,16.420294117647057
12514,48,440,1,1017.68,19.954509803921567
12515,14,128,1,278.7,18.58
12516,19,868,2,1186.06,49.41916666666666
12517,208,1361,4,2322.84,8.266334519572954
12518,76,1306,5,1840.89,15.46966386554622
12519,16,180,1,286.84,16.872941176470587
12520,105,1423,5,2346.2599999999998,15.96095238095238
12521,32,306,1,545.68,14.748108108108108
12522,10,192,2,156.72,15.672
12523,80,860,11,1699.77,16.664411764705882
12524,108,3669,8,3945.72,29.01264705882353
12526,61,624,3,1172.66,17.245
12527,16,233,3,330.71000000000004,19.45352941176471
12528,45,740,6,1645.48,19.133488372093023
12530,48,904,4,1500.28,24.198064516129033
12531,16,45,1,125.22,7.365882352941177
12532,15,151,1,313.83000000000004,20.922000000000004
12534,52,645,1,981.18,15.82548387096774
12535,26,219,2,716.35,21.069117647058825
12536,246,2801,1,4279.71,16.523976833976835
12538,21,191,1,363.95,17.33095238095238
12539,147,2067,4,5568.35,20.396886446886448
12540,259,6620,17,11580.24,25.11982646420824
12541,40,675,3,841.18,17.166938775510204
12544,18,134,1,316.7,17.594444444444445
12545,34,517,2,832.39,17.341458333333332
12546,57,628,2,1021.5,15.246268656716419
12547,5,132,2,151.79999999999998,25.299999999999997
12548,4,48,1,67.19999999999999,16.799999999999997
12550,56,564,1,824.83,14.729107142857144
12551,9,100,1,168.0,16.8
12552,16,85,1,317.82,16.72736842105263
12553,93,1942,10,3278.28,18.012527472527474
12556,92,358,2,603.71,4.989338842975207
12557,13,4384,5,11990.960000000001,363.36242424242425
12558,11,196,1,269.96,24.54181818181818
12559,19,281,2,525.71,26.285500000000003
12560,79,1098,2,1918.01,18.621456310679612
12561,15,177,1,238.85,14.928125
12562,91,1757,7,3385.7400000000002,21.02944099378882
12564,19,130,1,402.9,20.145
12565,9,80,1,145.92,16.21333333333333
12566,17,262,1,297.65,16.53611111111111
12567,288,4261,10,8609.28,19.655890410958907
12569,83,1747,32,3152.69,20.080828025477707
12571,28,523,2,519.61,15.28264705882353
12572,42,446,2,912.42,15.731379310344828
12573,26,84,1,160.54000000000002,5.733571428571429
12574,10,59,1,182.45000000000002,18.245
12576,65,967,5,1315.83,14.952613636363635
12577,128,471,3,653.85,4.478424657534247
12578,100,1182,2,2402.51,21.450982142857146
12579,28,282,1,386.42,13.800714285714287
12580,23,236,1,379.7,16.508695652173913
12581,14,160,1,179.71,12.836428571428572
12582,16,296,2,351.36,17.568
12583,108,5028,15,6705.38,28.9025
12584,37,413,9,2254.15,23.727894736842106
12585,68,1267,2,1824.1,21.459999999999997
12586,10,79,1,196.94000000000003,17.903636363636366
12587,3,50,1,104.0,34.666666666666664
12588,8,52,1,174.89999999999998,19.43333333333333
12589,23,302,2,574.68,17.414545454545454
12590,64,4282,1,9341.26,139.4217910447761
12591,23,225,1,368.85,14.754000000000001
12592,10,288,2,401.6,25.1
12593,13,204,3,382.09999999999997,19.104999999999997
12594,50,1772,9,3208.2200000000003,28.142280701754387
12596,24,468,2,450.27,18.0108
12597,164,2214,4,3195.22,15.817920792079207
12598,83,1952,7,2807.08,22.10299212598425
12599,25,948,7,888.58,16.156000000000002
12600,30,758,10,2311.04,42.797037037037036
12601,20,240,5,487.06,21.176521739130436
12602,12,162,1,153.12,12.76
12603,1,56,1,613.1999999999999,613.1999999999999
12604,13,200,2,236.18,15.745333333333333
12607,93,1228,1,1579.51,15.63871287128713
12609,50,639,3,964.85,16.92719298245614
12610,77,1039,4,1747.54,17.132745098039216
12611,63,846,1,1193.32,18.35876923076923
12612,10,260,1,668.0400000000001,37.11333333333334
12613,113,1630,4,3092.38,20.754228187919463
12614,20,76,1,315.6,15.780000000000001
12615,79,1365,4,2093.19,20.724653465346535
12616,24,280,2,641.3,21.376666666666665
12617,34,213,1,355.53,8.465
12618,9,95,1,137.31,13.731
12619,46,3360,8,2945.56,35.92146341463415
12620,84,1179,3,1303.41,14.323186813186814
12621,241,7369,20,12411.67,27.64291759465479
12622,10,68,1,162.1,16.21
12623,15,189,1,269.1,15.829411764705883
12624,34,351,2,569.13,15.809166666666666
12625,70,1597,2,2413.82,28.735952380952384
12626,212,3416,9,5954.48,20.892912280701754
12627,150,2730,6,4082.53,18.225580357142857
12628,32,445,3,732.46,19.275263157894738
12630,54,542,2,1030.88,16.62709677419355
12631,22,232,1,480.5,16.016666666666666
12633,67,1149,4,1929.98,19.896701030927836
12635,87,1162,2,1509.18,15.244242424242424
12637,189,2991,8,5823.9,15.048837209302325
12638,38,573,1,511.69,13.465526315789473
12639,21,198,1,366.1,17.433333333333334
12640,40,301,3,994.58,19.8916
12641,9,71,1,145.9,16.211111111111112
12642,34,546,3,905.26,20.57409090909091
12643,10,1788,6,3041.64,168.98
12644,31,325,1,477.91,15.416451612903227
12645,53,1076,4,1631.18,23.640289855072464
12646,32,897,2,1346.97,29.932666666666666
12647,71,1400,12,3146.82,28.607454545454548
12648,14,159,1,300.05,15.002500000000001
12649,25,583,3,569.51,19.638275862068966
12650,13,250,1,242.44000000000003,12.760000000000002
12651,9,78,1,114.0,12.666666666666666
12652,47,498,1,793.98,16.8931914893617
12653,31,919,2,2209.85,51.391860465116274
12654,29,260,5,529.98,15.58764705882353
12656,74,1699,5,3619.17,29.910495867768596
12657,33,1032,4,1427.18,32.43590909090909
