,StockCode,Description,0
0,10002,INFLATABLE POLITICAL GLOBE ,71
1,10080,GROOVY CACTUS INFLATABLE,22
2,10080,check,1
3,10120,DOGGY RUBBER,30
4,10123C,HEARTS WRAPPING TAPE ,3
5,10124A,SPOTS ON RED BOOKCOVER TAPE,5
6,10124G,ARMY CAMO BOOKCOVER TAPE,4
7,10125,MINI FUNKY DESIGN TAPES,94
8,10133,COLOURING PENCILS BROWN TUBE,199
9,10133,damaged,1
10,10135,COLOURING PENCILS BROWN TUBE,180
11,11001,ASSTD DESIGN RACING CAR PEN,120
12,15030,FAN BLACK FRAME ,13
13,15034,PAPER POCKET TRAVELING FAN ,142
14,15036,ASSORTED COLOURS SILK FAN,523
15,15039,SANDALWOOD FAN,149
16,15044A,PINK PAPER PARASOL ,104
17,15044B,BLUE PAPER PARASOL ,61
18,15044C,PURPLE PAPER PARASOL,91
19,15044D,RED PAPER PARASOL,87
20,15056BL,EDWARDIAN PARASOL BLACK,326
21,15056N,EDWARDIAN PARASOL NATURAL,467
22,15056P,EDWARDIAN PARASOL PINK,150
23,15056bl,EDWARDIAN PARASOL BLACK,62
24,15056n,EDWARDIAN PARASOL NATURAL,84
25,15056p,EDWARDIAN PARASOL PINK,26
26,15058A,BLUE POLKADOT GARDEN PARASOL,93
27,15058A,wet/rusty,1
28,15058B,PINK POLKADOT GARDEN PARASOL,99
29,15058C,ICE CREAM DESIGN GARDEN PARASOL,72
30,15058C,wet/rusty,1
31,15060B,FAIRY CAKE DESIGN UMBRELLA,132
32,15060b,FAIRY CAKE DESIGN UMBRELLA,3
33,16008,SMALL FOLDING SCISSOR(POINTED EDGE),70
34,16008,check,1
35,16010,FOLDING CAMPING SCISSOR W/KNIF & S,3
36,16011,ANIMAL STICKERS,47
37,16012,FOOD/DRINK SPONGE STICKERS,37
38,16014,SMALL CHINESE STYLE SCISSOR,54
39,16015,MEDIUM CHINESE STYLE SCISSOR,24
40,16016,LARGE CHINESE STYLE SCISSOR,65
41,16020C,CLEAR STATIONERY BOX SET ,17
42,16033,MINI HIGHLIGHTER PENS,4
43,16043,POP ART PUSH DOWN RUBBER ,2
44,16045,POPART WOODEN PENCILS ASST,69
45,16045,check,1
46,16046,TEATIME PEN CASE & PENS,17
47,16048,TEATIME ROUND PENCIL SHARPENER ,69
48,16049,TEATIME GEL PENS ASST,5
49,16052,TEATIME PUSH DOWN RUBBER,13
50,16054,POPART RECT PENCIL SHARPENER ASST,34
51,16151A,FLOWERS HANDBAG blue and orange,3
52,16156L,WRAP CAROUSEL,14
53,16156L,"WRAP, CAROUSEL",4
54,16156S,WRAP PINK FAIRY CAKES ,167
55,16161G,WRAP BAD HAIR DAY,22
56,16161M,WRAP  PINK FLOCK,1
57,16161P,WRAP ENGLISH ROSE ,250
58,16161U,WRAP SUKI AND FRIENDS,135
59,16162L,THE KING GIFT BAG,8
60,16162M,THE KING GIFT BAG 25x24x12cm,8
61,16162M,alan hodge cant mamage this section,1
62,16168M,FUNKY MONKEY GIFT BAG MEDIUM,41
63,16168M,found,1
64,16169E,WRAP 50'S  CHRISTMAS,152
65,16169E,check,1
66,16169K,WRAP FOLK ART,8
67,16169M,WRAP DAISY CARPET ,26
68,16169N,WRAP BLUE RUSSIAN FOLKART,1
69,16169P,WRAP GREEN RUSSIAN FOLKART ,2
70,16202A,PASTEL PINK PHOTO ALBUM ,2
71,16202B,PASTEL BLUE PHOTO ALBUM ,2
72,16202E,BLACK PHOTO ALBUM ,4
73,16206B,RED PURSE WITH PINK HEART,2
74,16207A,PINK STRAWBERRY HANDBAG ,34
75,16207A,check,1
76,16207B,PINK HEART RED HANDBAG,18
77,16216,LETTER SHAPE PENCIL SHARPENER,45
78,16218,CARTOON  PENCIL SHARPENERS,64
79,16219,HOUSE SHAPE PENCIL SHARPENER,101
80,16225,RATTLE SNAKE EGGS,104
81,16235,RECYCLED PENCIL WITH RABBIT ERASER,170
82,16236,KITTY PENCIL ERASERS,136
83,16237,SLEEPING CAT ERASERS,298
84,16238,PARTY TIME PENCIL ERASERS,136
85,16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,2
86,16248B,BLUE HOLE PUNCH,7
87,16254,TRANSPARENT ACRYLIC TAPE DISPENSER,17
88,16258A,SWIRLY CIRCULAR RUBBERS IN BAG,60
89,16259,PIECE OF CAMO STATIONERY SET,32
90,17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,1
91,17003,BROCADE RING PURSE ,245
92,17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,2
93,17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,7
94,17012A,ORIGAMI VANILLA INCENSE/CANDLE SET ,66
95,17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,85
96,17012B,check,1
97,17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,86
98,17012C,check,1
99,17012D,ORIGAMI ROSE INCENSE/CANDLE SET ,99
100,17012E,ORIGAMI OPIUM INCENSE/CANDLE SET ,11
101,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,94
102,17012F,check,1
103,17013D,ORIGAMI ROSE INCENSE IN TUBE,13
104,17014A,ORIGAMI VANILLA INCENSE CONES,8
105,17021,NAMASTE SWAGAT INCENSE,57
106,17028J,INCENSE BAZAAR PEACH,1
107,17038,PORCELAIN BUDAH INCENSE HOLDER,34
108,17084A,TRANQUILITY MASALA INCENSE,7
109,17084J,LOVE POTION MASALA INCENSE,8
110,17084N,FAIRY DREAMS INCENSE ,101
111,17084P,DRAGONS BLOOD INCENSE,39
112,17084R,ASSORTED INCENSE PACK,27
113,17090A,LAVENDER INCENSE 40 CONES IN TIN,10
114,17090D,VANILLA INCENSE 40 CONES IN TIN,13
115,17091A,LAVENDER INCENSE IN TIN,26
116,17091A,found,1
117,17091J,VANILLA INCENSE IN TIN,99
118,17096,ASSORTED LAQUERED INCENSE HOLDERS,24
119,17107D,FLOWER FAIRY 5 DRAWER LINERS,21
120,17107D,FLOWER FAIRY 5 SUMMER DRAW LINERS,1
121,17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",25
122,17109D,Adjustment,1
123,17109D,FLOWER FAIRY INCENSE BOUQUET,5
124,17129F,BLUE GLASS GEMS IN BAG,58
125,17136A,BLUE STONES ON WIRE FOR CANDLE,20
126,17136A,check,1
127,17164B,ASS COL SMALL SAND GECKO P'WEIGHT,10
128,17165D,ASS COL LARGE SAND FROG P'WEIGHT,7
129,17174,ASSTD RASTA KEY-CHAINS,3
130,17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,2
131,18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,31
132,18094C,WHITE AND BLUE CERAMIC OIL BURNER,42
133,18097A,PINK TALL PORCELAIN T-LIGHT HOLDER ,4
134,18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,75
135,18098C,PORCELAIN BUTTERFLY OIL BURNER,53
136,18098c,PORCELAIN BUTTERFLY OIL BURNER,12
137,20615,BLUE POLKADOT PASSPORT COVER,97
138,20616,CHERRY BLOSSOM PASSPORT COVER,71
139,20617,FIRST CLASS PASSPORT COVER ,43
140,20618,QUEEN OF THE SKIES PASSPORT COVER ,76
141,20619,TROPICAL PASSPORT COVER ,99
142,20622,VIP PASSPORT COVER ,17
143,20622,VIPPASSPORT COVER ,35
144,20652,BLUE POLKADOT LUGGAGE TAG ,83
145,20652,check,1
146,20653,CHERRY BLOSSOM LUGGAGE TAG,33
